uniprot	fullName	uniProtkbId
A2KUC3		A2KUC3_HUMAN
B6A8C7	T-cell-interacting, activating receptor on myeloid cells protein 1	TARM1_HUMAN
O00161	Synaptosomal-associated protein 23	SNP23_HUMAN
O00206	Toll-like receptor 4	TLR4_HUMAN
O00241	Signal-regulatory protein beta-1	SIRB1_HUMAN
O00560	Syntenin-1	SDCB1_HUMAN
O00571	ATP-dependent RNA helicase DDX3X	DDX3X_HUMAN
O00602	Ficolin-1	FCN1_HUMAN
O14672	Disintegrin and metalloproteinase domain-containing protein 10	ADA10_HUMAN
O14788	Tumor necrosis factor ligand superfamily member 11	TNF11_HUMAN
O14975	Long-chain fatty acid transport protein 2	S27A2_HUMAN
O15230	Laminin subunit alpha-5	LAMA5_HUMAN
O15357	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	SHIP2_HUMAN
O43318	Mitogen-activated protein kinase kinase kinase 7	M3K7_HUMAN
O43353	Receptor-interacting serine/threonine-protein kinase 2	RIPK2_HUMAN
O43451	Maltase-glucoamylase	MGA_HUMAN
O43508	Tumor necrosis factor ligand superfamily member 12	TNF12_HUMAN
O43557	Tumor necrosis factor ligand superfamily member 14	TNF14_HUMAN
O43914	TYRO protein tyrosine kinase-binding protein	TYOBP_HUMAN
O60443	Gasdermin-E	GSDME_HUMAN
O60602	Toll-like receptor 5	TLR5_HUMAN
O60610	Protein diaphanous homolog 1	DIAP1_HUMAN
O75131	Copine-3	CPNE3_HUMAN
O94759	Transient receptor potential cation channel subfamily M member 2	TRPM2_HUMAN
O94804	Serine/threonine-protein kinase 10	STK10_HUMAN
O94856	Neurofascin	NFASC_HUMAN
O94886	CSC1-like protein 1	CSCL1_HUMAN
O94973	AP-2 complex subunit alpha-2	AP2A2_HUMAN
O95210	Starch-binding domain-containing protein 1	STBD1_HUMAN
O95256	Interleukin-18 receptor accessory protein	I18RA_HUMAN
O95497	Pantetheinase	VNN1_HUMAN
O95711	Lymphocyte antigen 86	LY86_HUMAN
O95716	Ras-related protein Rab-3D	RAB3D_HUMAN
P00734	Prothrombin	THRB_HUMAN
P01009	Alpha-1-antitrypsin	A1AT_HUMAN
P01111	GTPase NRas	RASN_HUMAN
P01137	Transforming growth factor beta-1 proprotein	TGFB1_HUMAN
P01375	Tumor necrosis factor	TNFA_HUMAN
P01584	Interleukin-1 beta	IL1B_HUMAN
P01730	T-cell surface glycoprotein CD4	CD4_HUMAN
P02748	Complement component C9	CO9_HUMAN
P02751	Fibronectin	FINC_HUMAN
P03956	Interstitial collagenase	MMP1_HUMAN
P04004	Vitronectin	VTNC_HUMAN
P04049	RAF proto-oncogene serine/threonine-protein kinase	RAF1_HUMAN
P04083	Annexin A1	ANXA1_HUMAN
P04264	Keratin, type II cytoskeletal 1	K2C1_HUMAN
P04839	Cytochrome b-245 heavy chain	CY24B_HUMAN
P05067	Amyloid-beta precursor protein	A4_HUMAN
P05107	Integrin beta-2	ITB2_HUMAN
P05109	Protein S100-A8	S10A8_HUMAN
P05120	Plasminogen activator inhibitor 2	PAI2_HUMAN
P05156	Complement factor I	CFAI_HUMAN
P05556	Integrin beta-1	ITB1_HUMAN
P06239	Tyrosine-protein kinase Lck	LCK_HUMAN
P06241	Tyrosine-protein kinase Fyn	FYN_HUMAN
P06702	Protein S100-A9	S10A9_HUMAN
P06756	Integrin alpha-V	ITAV_HUMAN
P07237	Protein disulfide-isomerase	PDIA1_HUMAN
P07333	Macrophage colony-stimulating factor 1 receptor	CSF1R_HUMAN
P07339	Cathepsin D	CATD_HUMAN
P07355	Annexin A2	ANXA2_HUMAN
P07357	Complement component C8 alpha chain	CO8A_HUMAN
P07384	Calpain-1 catalytic subunit	CAN1_HUMAN
P07478	Trypsin-2	TRY2_HUMAN
P07711	Procathepsin L	CATL1_HUMAN
P07858	Cathepsin B	CATB_HUMAN
P07900	Heat shock protein HSP 90-alpha	HS90A_HUMAN
P07947	Tyrosine-protein kinase Yes	YES_HUMAN
P07948	Tyrosine-protein kinase Lyn	LYN_HUMAN
P08123	Collagen alpha-2(I) chain	CO1A2_HUMAN
P08174	Complement decay-accelerating factor	DAF_HUMAN
P08238	Heat shock protein HSP 90-beta	HS90B_HUMAN
P08253	72 kDa type IV collagenase	MMP2_HUMAN
P08254	Stromelysin-1	MMP3_HUMAN
P08311	Cathepsin G	CATG_HUMAN
P08473	Neprilysin	NEP_HUMAN
P08571	Monocyte differentiation antigen CD14	CD14_HUMAN
P08575	Receptor-type tyrosine-protein phosphatase C	PTPRC_HUMAN
P08631	Tyrosine-protein kinase HCK	HCK_HUMAN
