uniprot	reactome	url	rxn_name	x	species	fullName	uniProtkbId
A2KUC3	R-HSA-166658	https://reactome.org/PathwayBrowser/#/R-HSA-166658	Complement cascade	TAS	Homo sapiens		A2KUC3_HUMAN
B6A8C7	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	T-cell-interacting, activating receptor on myeloid cells protein 1	TARM1_HUMAN
O00161	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Synaptosomal-associated protein 23	SNP23_HUMAN
O00206	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Toll-like receptor 4	TLR4_HUMAN
O00241	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Signal-regulatory protein beta-1	SIRB1_HUMAN
O00560	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Syntenin-1	SDCB1_HUMAN
O00571	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	ATP-dependent RNA helicase DDX3X	DDX3X_HUMAN
O00602	R-HSA-166658	https://reactome.org/PathwayBrowser/#/R-HSA-166658	Complement cascade	TAS	Homo sapiens	Ficolin-1	FCN1_HUMAN
O00602	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Ficolin-1	FCN1_HUMAN
O14672	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Disintegrin and metalloproteinase domain-containing protein 10	ADA10_HUMAN
O14788	R-HSA-5668541	https://reactome.org/PathwayBrowser/#/R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	TAS	Homo sapiens	Tumor necrosis factor ligand superfamily member 11	TNF11_HUMAN
O14975	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Long-chain fatty acid transport protein 2	S27A2_HUMAN
O15230	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Laminin subunit alpha-5	LAMA5_HUMAN
O15357	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	SHIP2_HUMAN
O43318	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Mitogen-activated protein kinase kinase kinase 7	M3K7_HUMAN
O43318	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Mitogen-activated protein kinase kinase kinase 7	M3K7_HUMAN
O43353	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Receptor-interacting serine/threonine-protein kinase 2	RIPK2_HUMAN
O43353	R-HSA-449147	https://reactome.org/PathwayBrowser/#/R-HSA-449147	Signaling by Interleukins	TAS	Homo sapiens	Receptor-interacting serine/threonine-protein kinase 2	RIPK2_HUMAN
O43451	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Maltase-glucoamylase	MGA_HUMAN
O43508	R-HSA-5668541	https://reactome.org/PathwayBrowser/#/R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	TAS	Homo sapiens	Tumor necrosis factor ligand superfamily member 12	TNF12_HUMAN
O43557	R-HSA-5668541	https://reactome.org/PathwayBrowser/#/R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	TAS	Homo sapiens	Tumor necrosis factor ligand superfamily member 14	TNF14_HUMAN
O43557	R-HSA-5668541	https://reactome.org/PathwayBrowser/#/R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	IEA	Homo sapiens	Tumor necrosis factor ligand superfamily member 14	TNF14_HUMAN
O43914	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	TYRO protein tyrosine kinase-binding protein	TYOBP_HUMAN
O60443	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Gasdermin-E	GSDME_HUMAN
O60602	R-HSA-168898	https://reactome.org/PathwayBrowser/#/R-HSA-168898	Toll-like Receptor Cascades	TAS	Homo sapiens	Toll-like receptor 5	TLR5_HUMAN
O60610	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Protein diaphanous homolog 1	DIAP1_HUMAN
O75131	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Copine-3	CPNE3_HUMAN
O94759	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Transient receptor potential cation channel subfamily M member 2	TRPM2_HUMAN
O94804	R-HSA-6798695	https://reactome.org/PathwayBrowser/#/R-HSA-6798695	Neutrophil degranulation	TAS	Homo sapiens	Serine/threonine-protein kinase 10	STK10_HUMAN
