equation,complexity,loss,score,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,equation_index
(instability_index*(interface_sasa - positively_charged_aa_percent) - peptide_pae*(1.5587466 - 1.3085827*peptide_pae))*(hydrophobic_aa_percent + peptide_pae*(instability_index + interface_sasa - iptm + 2.9742935) - 0.70791006) + 1.0058662,29,0.11555512,0.0018347566672248254,0.8533333333333334,0.8441926345609065,0.9147633422566498,0.8526315789473684,0.851063829787234,0.9254658385093167,14
(instability_index*(interface_sasa - positively_charged_aa_percent) - peptide_pae*(1.61564 - 1.367518*peptide_pae))*(hydrophobic_aa_percent + peptide_pae*(instability_index + interface_sasa + 2.8887393) - 0.94668335) + 1.0004382,27,0.11597993,0.00177731786263455,0.8613333333333333,0.8522727272727273,0.9133394087828216,0.8631578947368421,0.8602150537634409,0.9214729370008874,13
(instability_index*(interface_sasa - positively_charged_aa_percent) - peptide_pae*(1.579819 - 1.3261726*peptide_pae))*(hydrophobic_aa_percent + peptide_pae*(interface_sasa + 3.02284) - 0.8382184) + 1.01302,25,0.11639293,0.0034437783354463554,0.8506666666666667,0.8418079096045198,0.9119154753089936,0.8631578947368421,0.8602150537634409,0.9250221827861579,12
(instability_index*(interface_sasa - positively_charged_aa_percent) - peptide_pae*(1.837988 - 1.5317643*peptide_pae))*(hydrophobic_aa_percent + 2.827188*peptide_pae - 0.7664111) + 1.0116686,23,0.11719736,0.005827979739754107,0.8533333333333334,0.8441926345609065,0.9118015606310873,0.8421052631578947,0.8421052631578947,0.9254658385093167,11
peptide_pae*(hydrophobic_aa_percent + 2.725015*peptide_pae)*(0.9335075*instability_index*(interface_sasa - positively_charged_aa_percent) + 0.9335075*peptide_pae - 1.2520468) + 1.1246121,21,0.1185714,0.013438720900123134,0.8453333333333334,0.8333333333333334,0.9119154753089934,0.8526315789473684,0.851063829787234,0.9259094942324756,10
peptide_pae**2*(2.8146424*instability_index*(interface_sasa - positively_charged_aa_percent) + 3.47516973107696*peptide_pae - 4.38352069618912) + 1.059127,19,0.12180151,0.003546197053326614,0.8373333333333334,0.8242074927953891,0.9028023010764936,0.8631578947368421,0.8602150537634409,0.9090505767524402,9
peptide_pae*(1.1919756 - 1.0545769*peptide_pae)*(-5.02074*peptide_pae + polar_aa_percent + turn_fraction) + 0.9784115,17,0.122668445,0.004332881797537234,0.8346666666666667,0.8208092485549133,0.8998405194509312,0.8526315789473684,0.8478260869565217,0.9059449866903283,8
peptide_pae*(interface_sasa*turn_fraction - peptide_pae*(4.9324374 - 4.01854*peptide_pae)) + 1.0446465,15,0.12373608,0.00326279012971397,0.8373333333333334,0.8211143695014663,0.899470296747736,0.8526315789473684,0.8478260869565217,0.9086069210292812,7
-(iptm + rosetta_score*(-hydrophobic_aa_percent + interface_sasa + turn_fraction))*(peptide_pae - 1.108145),13,0.12454617,0.007069000184824953,0.856,0.8430232558139535,0.8972774391980406,0.8736842105263158,0.8695652173913043,0.9299023957409052,6
-(iptm + rosetta_score*(polar_aa_percent + turn_fraction))*(peptide_pae - 0.9899458),11,0.12631951,0.005549579785232699,0.8586666666666667,0.844574780058651,0.8925784587344079,0.8631578947368421,0.8602150537634409,0.9316770186335404,5
-(iptm + rosetta_score*turn_fraction)*(peptide_pae - 1.0792603),9,0.12772936,0.012896351727702959,0.848,0.8328445747800587,0.8876231702454861,0.8736842105263158,0.8695652173913043,0.922360248447205,4
-(iptm + rosetta_score)*(peptide_pae - 0.9415653),7,0.1310667,0.015143046425223185,0.8373333333333334,0.8200589970501475,0.8822976590533691,0.8842105263157894,0.8791208791208791,0.9232475598935226,3
-iptm*(peptide_pae - 1.2075188),5,0.13509692,0.02093930449328213,0.8266666666666667,0.8071216617210683,0.8735831861935409,0.8526315789473684,0.851063829787234,0.927240461401952,2
0.9820636 - peptide_pae,3,0.14087473,0.05042744506417726,0.8373333333333334,0.8271954674220963,0.879051090733041,0.8631578947368421,0.8602150537634409,0.9236912156166814,1
iptm,1,0.15582381,0.0,0.784,0.7862796833773087,0.86116648630176,0.8421052631578947,0.8484848484848485,0.9225820763087844,0
