,mean,std,min,max
alphafold_iptm,0.7750858369098712,0.18272634552073377,0.04,0.97
alphafold_rosetta_score,-338.86181405466897,295.76922833749086,-1083.956767612364,845.3802464233613
alphafold_interface_sasa,1512.1268846204046,565.2021656649265,523.6585124008303,3711.881949860158
alphafold_interface_dG,-43.0320179908478,21.317846448597304,-97.45015198921992,21.830814662868363
alphafold_interface_delta_hbond_unsat,6.650214592274678,5.00708851906196,0.0,31.0
alphafold_packstat,0.6389549418857148,0.06988445009905202,0.4104912172004478,0.8376964638647835
alphafold_distance_score,6.441931055008888,0.4156365063604796,5.158701425715026,7.401491018133146
alphafold_n_contacts,22.976394849785407,9.145742336678836,5.0,63.0
alphafold_peptide_plddt,77.17677861570508,16.800318476530705,25.286666666666665,97.47178571428572
alphafold_interface_peptide_plddt,69.09842856359712,17.619335156486816,15.291764705882356,96.78454545454548
alphafold_peptide_pae,9.290333227656989,4.82946939569045,2.03345804988662,25.40537683823529
boltz_iptm,0.8903415025943339,0.1063757197289419,0.2243765294551849,0.9925642013549804
boltz_confidence_score,0.92294801151292,0.059076510169400916,0.5796296000480652,0.9880289435386658
boltz_complex_plddt,0.9310996267672772,0.0555973045646651,0.6340157389640808,0.9886598587036132
boltz_complex_iplddt,0.9199915796902046,0.06653354521587364,0.5835763812065125,0.9883142709732056
boltz_complex_pde,0.41677886951123183,0.19246367122510163,0.2575768232345581,2.1116209030151367
boltz_complex_ipde,1.349934297250064,1.503861121972122,0.2758385241031647,11.784116744995115
boltz_ligand_iptm,0.0,0.0,0.0,0.0
boltz_protein_iptm,0.8903415025943339,0.1063757197289419,0.2243765294551849,0.9925642013549804
boltz_chain_0_ptm,0.9367046163701193,0.06104822929835841,0.4771057665348053,0.9906242489814758
boltz_chain_1_ptm,0.9142712432683282,0.08448787146923684,0.4195317327976227,0.9942458868026732
boltz_rosetta_score,-155.50332333780162,313.05424795849683,-1011.6897214968589,2701.175638430591
boltz_interface_sasa,1548.297391011913,589.7014356473578,723.1465198251664,4388.172290117678
boltz_interface_dG,27.29082898585447,116.15745607142979,-78.343851581215,1449.0648121578693
boltz_interface_delta_hbond_unsat,9.761802575107296,8.609891796284973,0.0,67.0
boltz_packstat,0.6394790315332592,0.06771438814121528,0.4261384728373351,0.8502376918123011
boltz_distance_score,6.4342438918003,0.4004551722743448,5.4072784061649815,7.425691825460317
boltz_n_contacts,20.830472103004293,8.182804852891849,5.0,61.0
boltz_peptide_plddt,0.8409053442431885,0.13220711258145654,0.3082767758104536,0.9862000925200326
boltz_interface_peptide_plddt,0.7107997539805297,0.15808683564607454,0.2731735035777092,0.9854617178440094
boltz_peptide_pae,6.647565761612472,3.992888790619313,1.069884425388172,27.91054289995685
boltz_peptide_pde,1.3571735554919673,1.5263944632380557,0.286589232150209,16.11870588750418
intra_alphafold_mean_rmsd,4.697813273690986,6.5846724639562995,0.12398894,42.62482
intra_boltz_mean_rmsd,2.895674147124464,4.771026584832299,0.11674486,33.383347
intra_all_mean_rmsd,5.568931529484979,6.629667537595134,0.2387383,60.460217
inter_model_rmsd,5.278616142660944,7.980387570838256,0.23027131,84.56484
length,15.562231759656653,7.653897071745975,7.0,40.0
molecular_weight,1786.7261905579403,871.9524130653125,631.6327,4757.200999999998
aromaticity,0.07993023539015182,0.08099290735116384,0.0,0.4285714285714285
instability_index,56.46913329191388,41.54263623607252,-27.24444444444444,237.25
isoelectric_point,7.613519283016353,2.894203900403713,4.0500284194946286,11.999967765808105
gravy,-0.7569107909498005,0.7576726188039691,-3.0615384615384613,1.4294117647058826
helix_fraction,0.32650780340295515,0.15449441705448938,0.0,0.857142857142857
turn_fraction,0.2825213093987423,0.15115396826079575,0.0,0.875
sheet_fraction,0.3092505350199385,0.11501035431750829,0.0,0.625
hydrophobic_aa_percent,0.3388612076539401,0.12295248625658926,0.0,0.75
polar_aa_percent,0.21945990887275033,0.12904248677833652,0.0,0.6000000000000001
positively_charged_aa_percent,0.1792101952940141,0.13123787294264994,0.0,0.625
negatively_charged_aa_percent,0.12836279213952073,0.12674987305679097,0.0,0.6842105263157894
delta_net_charge_frac,0.05084740315449339,0.22106915718866096,-0.6842105263157894,0.625
uHrel,0.2883603405992445,0.15835512976206678,0.0103004253636558,0.7665685012926436
alphafold_ipsae_max,0.5405081627939377,0.25256922870807985,0.0,0.9255348977278042
boltz_ipsae_max,0.7110901208993033,0.23060350903235272,0.0,0.9722813412520648
alphafold_ipsae_min,0.21674768536364558,0.12386830960535372,0.0,0.589980423877372
boltz_ipsae_min,0.43856756970679694,0.24156819200516888,0.0,0.8730211733832401
