equation,complexity,loss,score,train_rmse,train_r2,val_rmse,val_r2,val_mae,equation_index
2.420597*alphafold_interface_sasa - 2.420597*alphafold_ipsae_max*negatively_charged_aa_percent*(alphafold_iptm + 22.113995*uHrel*(boltz_rosetta_score + intra_boltz_mean_rmsd)*(polar_aa_percent - uHrel)) + 2.420597*alphafold_iptm - boltz_rosetta_score - turn_fraction + 3.9908169726464,29,1.6780851,0.005091163799578505,1.2954093444502117,0.3469628251130559,1.337756269873965,0.07539181219584024,1.0494693576894096,14
2.459416*alphafold_interface_sasa - 2.459416*alphafold_ipsae_max*negatively_charged_aa_percent*(22.44577*uHrel*(boltz_rosetta_score + intra_boltz_mean_rmsd)*(polar_aa_percent - uHrel) + 0.9700176) + 2.459416*alphafold_iptm - turn_fraction + 3.786514414184,27,1.6952592,0.014088885994086149,1.3020212274869933,0.34027949421605597,1.3429826808220038,0.06815309142574222,1.0541750932874445,13
2.4699826*alphafold_interface_sasa - 2.4699826*alphafold_ipsae_max*negatively_charged_aa_percent*(22.175636*(boltz_rosetta_score - 0.117667615)*(polar_aa_percent - uHrel) + 0.76934487) + 2.4699826*alphafold_iptm - turn_fraction + 3.788916258661,25,1.7437072,0.006635961194719312,1.3204950362937784,0.3214257118997047,1.2735505675032486,0.16201521736637214,1.0145235177049774,12
2.3586223*alphafold_interface_sasa - 2.3586223*alphafold_ipsae_max*negatively_charged_aa_percent*(boltz_chain_1_ptm + 16.228542*boltz_rosetta_score*(polar_aa_percent - uHrel)) + 2.3586223*alphafold_iptm - turn_fraction + 3.89435005472206,23,1.7670038,0.00919671315996197,1.3292869664928884,0.31235965936772503,1.293777744597868,0.13518523225045465,1.0292361651108775,11
2.3714142*alphafold_interface_sasa + 2.3714142*alphafold_ipsae_max*negatively_charged_aa_percent*(17.191172*boltz_rosetta_score*uHrel - 1.7208757) + 2.3714142*alphafold_iptm - turn_fraction + 3.8323025751822,21,1.7998058,0.003554332681002776,1.3415685298365525,0.2995944513068858,1.2349391753011838,0.2120568575013081,0.9886985065227618,10
(alphafold_interface_sasa + 1.7674627)*(alphafold_iptm - (inter_model_rmsd - negatively_charged_aa_percent)*(13.273914*boltz_rosetta_score*uHrel - 1.2400274) + 2.1403673),19,1.8126456,0.013631885344911998,1.3463451769657937,0.2945979922273847,1.2831704029474764,0.14930787528091327,1.015605924319192,9
negatively_charged_aa_percent*(22.641268*boltz_rosetta_score*uHrel - 2.0432732) + (alphafold_interface_sasa + 1.6596684)*(alphafold_iptm + 2.280888),17,1.862745,0.01958253292654115,1.3648241811584194,0.275101383991579,1.2717706900770025,0.16435586718496442,1.009030986431752,8
14.303596*boltz_rosetta_score*negatively_charged_aa_percent*uHrel + (alphafold_interface_sasa + 1.6960377)*(alphafold_iptm + 2.108388),15,1.937147,0.013580927290514263,1.3918143010873656,0.24614738982825435,1.279992921422749,0.15351575249901528,1.025322835138258,7
(alphafold_distance_score + alphafold_iptm + uHrel)*(alphafold_interface_sasa + alphafold_iptm - turn_fraction) + 4.6857944,13,1.9904846,0.010725491764236535,1.4108454108088098,0.22539068844444454,1.2212126858676844,0.2294756658191507,0.9953618404979381,6
2.3300574*alphafold_interface_sasa + 2.3300574*alphafold_iptm + 2.3300574*helix_fraction*uHrel + 3.1784217,11,2.0336437,0.007754518238739722,1.4260589718900818,0.20859493717930844,1.2611694214247011,0.17822938213746065,1.0234830254996867,5
(boltz_interface_sasa + 1.9483677)*(alphafold_iptm + hydrophobic_aa_percent + 1.5522101),9,2.0654294,0.01687047938736996,1.4371603290118404,0.19622536895179654,1.2247400185986248,0.22501809524132155,1.0151267194842992,4
(alphafold_iptm + 1.9423206)*(boltz_interface_sasa + 1.9986511),7,2.136308,0.021921454153205986,1.461611466835538,0.1686426576138641,1.2291223629247225,0.21946211816571282,1.0143454042591606,3
7.563108 - 3.2495130117325*alphafold_interface_dG,5,2.2320535,0.03503635369945629,1.494005977148381,0.13138260239992117,1.2403223850145726,0.2051724567844777,1.0360026720253654,2
6.5373816 - alphafold_interface_dG,3,2.3940697,0.03538980633391364,1.5472785056052882,0.06833273031741904,1.3270787232157983,0.09009276709477732,1.1148929820234121,1
6.08072420000000,1,2.5696619,0.0,1.6030168159074147,-2.3138765792296567e-08,1.407388797552536,-0.02336821592323135,1.1786571392221747,0
