equation,complexity,loss,score,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,equation_index
0.9896114*alphafold_packstat*delta_net_charge_frac**2 + 0.9896114*alphafold_peptide_plddt**2 + negatively_charged_aa_percent*(alphafold_interface_peptide_plddt - 1.7571899)*(0.9361348228861*inter_model_rmsd + 0.9361348228861*isoelectric_point + positively_charged_aa_percent - 0.467339079828148) + 0.0290484523414802,29,0.12241984,3.80438563960181e-05,0.8260340632603407,0.8319623971797885,0.9104223270889937,0.855072463768116,0.8571428571428571,0.9359046546546547,14
alphafold_packstat*delta_net_charge_frac**2 + alphafold_peptide_plddt**2 + negatively_charged_aa_percent*(alphafold_interface_peptide_plddt - 1.7567922)*(0.930529288781576*inter_model_rmsd + 0.930529288781576*isoelectric_point + positively_charged_aa_percent - 0.470264285206483) + 0.022804558,27,0.122429155,0.0008839950880832202,0.8260340632603407,0.8319623971797885,0.9103865770532438,0.855072463768116,0.8571428571428571,0.9358108108108109,13
alphafold_packstat*delta_net_charge_frac**2 + alphafold_peptide_plddt**2 + negatively_charged_aa_percent*(alphafold_interface_peptide_plddt - 1.7097312)*(0.91386961639409*inter_model_rmsd + 0.91386961639409*isoelectric_point + positively_charged_aa_percent - 0.520269783449456),25,0.1226458,0.0027484336808581964,0.8260340632603407,0.830367734282325,0.9098622431955765,0.855072463768116,0.8571428571428571,0.9354354354354354,12
alphafold_packstat*delta_net_charge_frac**2 + alphafold_peptide_plddt**2 - 1.1880411*negatively_charged_aa_percent*(0.91809845*inter_model_rmsd + 0.91809845*isoelectric_point + positively_charged_aa_percent - 0.52095366556846),23,0.123321824,0.0033764011700797014,0.8260340632603407,0.8299643281807372,0.9086705753372419,0.855072463768116,0.8571428571428571,0.9351539039039038,11
0.9525703*alphafold_n_contacts*delta_net_charge_frac**2 - 0.9525703*alphafold_peptide_plddt*(inter_model_rmsd - 1.0100954) - 0.9525703*negatively_charged_aa_percent*(-alphafold_ipsae_min + isoelectric_point + positively_charged_aa_percent),21,0.12415741,0.00010826212213043021,0.8248175182481752,0.8352402745995423,0.904684446351113,0.855072463768116,0.8611111111111112,0.9221096096096096,10
alphafold_n_contacts*delta_net_charge_frac**2 - alphafold_peptide_plddt*(inter_model_rmsd - 0.9586107) - negatively_charged_aa_percent*(-alphafold_ipsae_min + isoelectric_point + positively_charged_aa_percent),19,0.124184296,0.002530676985045915,0.8260340632603407,0.8365714285714285,0.9049049049049049,0.855072463768116,0.8611111111111112,0.9227665165165165,9
alphafold_peptide_plddt*(0.203261*alphafold_ipsae_max + 0.203261*alphafold_packstat - inter_model_rmsd + 0.87648344) - isoelectric_point*(negatively_charged_aa_percent - 0.048613705),17,0.12481443,0.006287177812775903,0.8321167883211679,0.8384074941451991,0.9024560274560274,0.8502415458937198,0.8530805687203792,0.9157282282282282,8
alphafold_peptide_plddt*(0.203261*alphafold_ipsae_max + 0.203261*alphafold_packstat - inter_model_rmsd + 0.87648344) - isoelectric_point*negatively_charged_aa_percent,15,0.1263938,0.00020550581851773987,0.8309002433090025,0.8351126927639383,0.9012464845798179,0.8309178743961353,0.8292682926829268,0.914602102102102,7
-(alphafold_peptide_plddt - 1.4928766*negatively_charged_aa_percent*(delta_net_charge_frac - 0.26646608))*(inter_model_rmsd - 1.151256),13,0.12644576,0.00298708721870366,0.8236009732360098,0.8323699421965318,0.8988333571666904,0.8647342995169082,0.8691588785046729,0.9131944444444444,6
-(alphafold_peptide_plddt - negatively_charged_aa_percent*(delta_net_charge_frac - 0.26646608))*(inter_model_rmsd - 1.151256),11,0.12720343,0.002767566056512544,0.8260340632603407,0.8350634371395617,0.8965393965393966,0.8599033816425121,0.8651162790697674,0.9127252252252251,5
-alphafold_peptide_plddt*(inter_model_rmsd - 1.151256) - isoelectric_point*negatively_charged_aa_percent,9,0.12790947,0.006685103813808502,0.8248175182481752,0.8333333333333334,0.8966228132894801,0.8502415458937198,0.8544600938967136,0.9097222222222223,4
-alphafold_peptide_plddt*(alphafold_interface_dG + inter_model_rmsd - 1.2172052),7,0.12963113,0.0029884409941386887,0.8321167883211679,0.839907192575406,0.8899077649077649,0.8405797101449275,0.8436018957345972,0.9105668168168168,3
-alphafold_peptide_plddt*(inter_model_rmsd - 1.0986311),5,0.13040824,0.016174866510590417,0.8309002433090025,0.839677047289504,0.8885790552457219,0.855072463768116,0.8598130841121495,0.9093468468468469,2
1.0389401*alphafold_peptide_plddt,3,0.13469589,0.0021177339745738015,0.8223844282238443,0.8366890380313199,0.8848610515277182,0.8599033816425121,0.867579908675799,0.9092530030030028,1
alphafold_peptide_plddt,1,0.1352676,0.0,0.8199513381995134,0.8321995464852607,0.8848610515277182,0.855072463768116,0.8611111111111112,0.9092530030030028,0
