,mean,std,min,max
alphafold_iptm,0.7600225225225227,0.19799958829092099,0.04,0.97
alphafold_rosetta_score,-322.7403489919049,297.1813213889295,-1060.764822343542,845.3802464233613
alphafold_interface_sasa,1520.3227090022285,577.7704053066527,523.6585124008303,3407.262087930201
alphafold_interface_dG,-42.44203616794487,29.23452007206043,-117.40023504752531,324.2264609555188
alphafold_interface_delta_hbond_unsat,6.626126126126126,5.1998300321538204,0.0,31.0
alphafold_packstat,0.639972056453484,0.067855280756056,0.4189413805502554,0.8482659598980555
alphafold_distance_score,6.429385056115725,0.4204951655986256,5.158701425715026,7.399755599663163
alphafold_n_contacts,23.036036036036037,9.382446439044708,5.0,57.0
alphafold_peptide_plddt,76.17646289578103,18.503285693838595,21.54285714285714,97.47178571428572
alphafold_interface_peptide_plddt,68.09028458400432,19.065201431227457,15.291764705882356,96.59636363636363
alphafold_peptide_pae,9.435061944507426,5.242646381483492,2.836494208494212,27.780543641522
intra_alphafold_mean_rmsd,4.66583240599099,6.179498647277823,0.12398894,33.119263
intra_boltz_mean_rmsd,2.789677757725225,4.2474535290068225,0.11674486,28.902966
inter_model_rmsd,4.935970977815315,6.26072805146773,0.23027131,39.04843
length,15.76126126126126,7.583201955935265,7.0,40.0
molecular_weight,1803.6720243243244,869.6338225755023,602.6412,4757.200999999998
aromaticity,0.07616959955898153,0.0777995669706735,0.0,0.3333333333333333
instability_index,55.676302373602475,42.62563843543334,-27.24444444444444,231.58
isoelectric_point,7.626701915156733,2.8995386238241783,4.0500284194946286,11.999967765808105
gravy,-0.7289177122470835,0.7625869624766946,-3.7125,1.4294117647058826
hydrophobic_aa_percent,0.3415985522473719,0.12876026653663214,0.0,0.7142857142857142
polar_aa_percent,0.2199424919793924,0.1340604595121083,0.0,0.6000000000000001
positively_charged_aa_percent,0.1770579886582053,0.12815316985070394,0.0,0.75
negatively_charged_aa_percent,0.12347594866653407,0.12566371420658998,0.0,0.6842105263157894
delta_net_charge_frac,0.05358203999167124,0.21425403519798056,-0.6842105263157894,0.75
uHrel,0.2844001094335324,0.15576170665597627,0.0116765621064005,0.7665685012926436
alphafold_ipsae_max,0.5323140915367292,0.2676053671066918,0.0,0.9255348977278042
alphafold_ipsae_min,0.21660289835903315,0.12805810009668508,0.0,0.589980423877372
