Feature,Importance
boltz_peptide_plddt,0.08520531305429278
boltz_complex_iplddt,0.07664004496769607
boltz_interface_peptide_plddt,0.06017943547332098
boltz_ipsae_max,0.05565537912229048
boltz_ipsae_min,0.054111729550887215
inter_model_rmsd,0.05143626939660274
intra_alphafold_mean_rmsd,0.048672855673808746
intra_boltz_mean_rmsd,0.047488267065265724
boltz_protein_iptm,0.04441124754368226
boltz_interface_dG,0.04345522534522564
boltz_confidence_score,0.030229446537518346
boltz_iptm,0.029587776630911753
hydrophobic_aa_percent,0.021780724069752292
molecular_weight,0.01994814583033121
boltz_chain_0_ptm,0.019296496281199137
delta_net_charge_frac,0.01917373066087563
boltz_n_contacts,0.018548307892590724
boltz_rosetta_score,0.017638346741544797
positively_charged_aa_percent,0.017259722152709833
boltz_complex_ipde,0.016961280091506624
boltz_interface_sasa,0.016595499702349647
boltz_peptide_pae,0.01658744484285789
instability_index,0.014806062780613229
boltz_complex_plddt,0.014519648274494906
isoelectric_point,0.0142823483012351
boltz_chain_1_ptm,0.014220467079708502
gravy,0.013762072573350641
boltz_peptide_pde,0.01362696781119001
polar_aa_percent,0.013561615329278815
uHrel,0.013513736200966854
boltz_packstat,0.0129269653819744
boltz_distance_score,0.012870650139812227
boltz_complex_pde,0.012664048080325438
negatively_charged_aa_percent,0.01118460603773031
length,0.010676186689459728
boltz_interface_delta_hbond_unsat,0.009291142294378135
aromaticity,0.007230794398261189
boltz_ligand_iptm,0.0
