equation,complexity,loss,score,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,equation_index
0.966554694527155*boltz_complex_iplddt*(boltz_chain_0_ptm*(boltz_n_contacts*boltz_peptide_plddt - (gravy + positively_charged_aa_percent)*(boltz_chain_0_ptm - boltz_ipsae_max*boltz_peptide_plddt + 0.31410405)) + 1),23,0.13305281,0.0003916083401759857,0.8223844282238443,0.8317972350230415,0.8932623099289765,0.821256038647343,0.8310502283105022,0.9041854354354354,11
boltz_complex_iplddt*(boltz_chain_0_ptm*(boltz_n_contacts*boltz_peptide_plddt - (gravy + positively_charged_aa_percent)*(boltz_chain_0_ptm - boltz_ipsae_max*boltz_peptide_plddt + 0.34907284)) + 1),21,0.13315706,0.004629512680845753,0.8248175182481752,0.8341013824884793,0.8930954764288097,0.821256038647343,0.8310502283105022,0.9033408408408408,10
boltz_complex_iplddt*(-(gravy + positively_charged_aa_percent)*(boltz_chain_0_ptm - 0.927862495231947*boltz_peptide_plddt*(boltz_ipsae_max + boltz_n_contacts) + 0.1985422) + 1),19,0.13439569,0.003557259195908586,0.8126520681265207,0.8205128205128205,0.8907180990514323,0.821256038647343,0.8310502283105022,0.9097222222222222,9
boltz_complex_iplddt*(-(boltz_chain_0_ptm - boltz_peptide_plddt*(boltz_ipsae_max + boltz_n_contacts - 0.32781073))*(gravy + positively_charged_aa_percent) + 1),17,0.13535526,0.01072589372209195,0.8114355231143552,0.8208092485549133,0.8904142237475572,0.8164251207729468,0.8303571428571429,0.9052177177177176,8
1.9038618*boltz_peptide_plddt*(boltz_n_contacts - inter_model_rmsd + 0.5564479)/(-boltz_ipsae_max + boltz_n_contacts + 2.224106),15,0.13829024,0.0016732373402190822,0.7992700729927007,0.8088064889918888,0.8831092997759665,0.8115942028985508,0.8266666666666667,0.914039039039039,7
boltz_complex_iplddt - (gravy + positively_charged_aa_percent)*(boltz_chain_0_ptm*boltz_confidence_score - boltz_ipsae_max*boltz_peptide_plddt),13,0.1387538,0.008960741430590584,0.7858880778588808,0.8040089086859689,0.883681300347967,0.8357487922705314,0.8508771929824561,0.909253003003003,6
(0.66863716*boltz_peptide_plddt - 0.051934242)*(boltz_ipsae_max + boltz_n_contacts + 0.35550743),11,0.14126289,0.0011468267941210713,0.791970802919708,0.8041237113402062,0.8795104628437962,0.8357487922705314,0.8468468468468469,0.9159159159159159,5
0.64387447*boltz_peptide_plddt*(boltz_ipsae_max + boltz_n_contacts + 0.2620284),9,0.14158727,0.0036420810370885012,0.7895377128953771,0.8031854379977247,0.8791767958434624,0.8260869565217391,0.8392857142857143,0.9145082582582582,4
0.78468335*boltz_peptide_plddt*(boltz_ipsae_max + boltz_n_contacts),7,0.14262238,0.01897762090267788,0.7931873479318735,0.8032407407407407,0.8781638781638782,0.8067632850241546,0.8181818181818182,0.9120683183183182,3
-boltz_chain_1_ptm*inter_model_rmsd + boltz_peptide_plddt,5,0.14813969,0.014673150890800074,0.7798053527980535,0.8021857923497268,0.8729205395872063,0.8260869565217391,0.8448275862068966,0.9048423423423423,2
boltz_peptide_plddt**2,3,0.15255146,0.04920332660198345,0.7834549878345499,0.7905882352941176,0.864352447685781,0.8260869565217391,0.8392857142857143,0.9100975975975976,1
boltz_peptide_plddt,1,0.16832702,0.0,0.7396593673965937,0.7889546351084813,0.864352447685781,0.7971014492753623,0.8306451612903226,0.9100975975975976,0
