equation,complexity,loss,score,train_acc,train_f1,train_auc,val_acc,val_f1,val_auc,equation_index
0.71949850272432*alphafold_ipsae_max + 0.4913392*boltz_peptide_plddt - gravy*positively_charged_aa_percent*(gravy + positively_charged_aa_percent + 1.4821618)*(boltz_chain_0_ptm - boltz_confidence_score - isoelectric_point + 1.0118821) + 0.080616548027488,27,0.11301318,0.0008213530244417924,0.8491484184914841,0.8558139534883721,0.9252288002288002,0.8840579710144928,0.8918918918918919,0.9330893393393394,12
0.720400045121053*alphafold_ipsae_max + 0.51439697*boltz_peptide_plddt - 1.02879394*positively_charged_aa_percent*(gravy + hydrophobic_aa_percent)*(boltz_chain_0_ptm - boltz_confidence_score - isoelectric_point + 1.0642592) + 0.0664443634086271,25,0.11319898,0.004331750865941443,0.8454987834549879,0.8531791907514451,0.9241086324419657,0.8888888888888888,0.8959276018099548,0.93628003003003,11
0.73903426507263*alphafold_ipsae_max + 0.5327563*boltz_peptide_plddt - 1.0655126*positively_charged_aa_percent*(gravy + hydrophobic_aa_percent)*(boltz_chain_0_ptm - boltz_confidence_score - isoelectric_point + 0.9003941),23,0.11418394,0.0013942306950880101,0.8418491484184915,0.8484848484848485,0.9230718814052148,0.8840579710144928,0.8918918918918919,0.934496996996997,10
0.735949851493162*alphafold_ipsae_max + 0.62440634*boltz_peptide_plddt + positively_charged_aa_percent*(alphafold_packstat*hydrophobic_aa_percent - boltz_chain_0_ptm - gravy + isoelectric_point),19,0.114822514,0.0007450388372484375,0.8454987834549879,0.855188141391106,0.9220172553505886,0.8792270531400966,0.8878923766816144,0.9362800300300299,9
0.735949851493162*alphafold_ipsae_max + 0.62440634*boltz_peptide_plddt - positively_charged_aa_percent*(boltz_chain_0_ptm + gravy - isoelectric_point - 0.19153221),17,0.114993736,0.005152529077483392,0.8467153284671532,0.8555045871559633,0.9217312550645884,0.8792270531400966,0.8858447488584474,0.9390015015015015,8
0.756455589783536*alphafold_ipsae_max + 0.55441517*boltz_peptide_plddt + positively_charged_aa_percent*(-1.1916757*boltz_chain_0_ptm + isoelectric_point),15,0.11618488,0.0034336400120937487,0.8357664233576643,0.8450057405281286,0.9198782115448783,0.8695652173913043,0.8778280542986425,0.9321509009009008,7
0.7629153*alphafold_ipsae_max + 0.49701196*boltz_peptide_plddt - positively_charged_aa_percent*(boltz_chain_0_ptm - isoelectric_point),13,0.1169855,0.01581602389091019,0.8321167883211679,0.8413793103448276,0.9186329186329187,0.8599033816425121,0.8687782805429864,0.9309309309309309,6
0.7035934558447*alphafold_ipsae_max + 0.5960651*boltz_peptide_plddt - 0.212465593407681*hydrophobic_aa_percent,11,0.12074514,0.00479595959130032,0.8345498783454988,0.8418604651162791,0.9105653272319939,0.8695652173913043,0.8767123287671232,0.9344031531531531,5
0.44941077*alphafold_interface_peptide_plddt + 0.44941077*alphafold_ipsae_max + 0.44941077*boltz_peptide_plddt - 0.141264927683411,9,0.12190889,0.003529258323923036,0.8381995133819952,0.8465974625144176,0.9074967824967826,0.8647342995169082,0.8727272727272727,0.9250187687687688,4
0.65594006*alphafold_ipsae_max + 0.65594006*boltz_peptide_plddt - 0.125507393976584,7,0.12277243,0.013971616273053296,0.8284671532846716,0.8369942196531792,0.9072346155679489,0.8647342995169082,0.8715596330275229,0.9255818318318317,3
0.5595787*alphafold_ipsae_max + 0.5595787*boltz_peptide_plddt,5,0.12625147,0.03237192952466356,0.8345498783454988,0.8471910112359551,0.9072346155679489,0.8599033816425121,0.8699551569506726,0.9255818318318317,2
1.0390589*alphafold_peptide_plddt,3,0.13469589,0.11144453212602987,0.8223844282238443,0.8366890380313199,0.8848610515277182,0.8599033816425121,0.867579908675799,0.9092530030030028,1
boltz_peptide_plddt,1,0.16832702,0.0,0.7396593673965937,0.7889546351084813,0.864352447685781,0.7971014492753623,0.8306451612903226,0.9100975975975976,0
